timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
17:08:23,0.16,-0.19,1.07,-5.03,6.37,0.08
17:08:24,0.14,-0.19,1.09,-4.57,6.40,0.14
17:08:25,0.13,-0.18,1.07,-4.63,6.32,0.18
17:08:26,0.16,-0.19,1.08,-4.45,6.39,0.10
17:08:27,0.17,-0.21,1.08,-3.10,6.21,0.17
17:08:28,0.14,-0.22,1.10,-2.34,6.35,0.11
17:08:29,0.16,-0.22,1.08,-1.87,6.27,0.09
17:08:30,0.15,-0.21,1.09,-0.95,6.32,0.12
17:08:31,0.14,-0.21,1.10,0.77,6.30,0.03
17:08:32,0.16,-0.21,1.08,1.74,6.21,0.15
17:08:33,0.16,-0.21,1.08,1.81,6.32,0.17
17:08:34,0.14,-0.20,1.08,3.57,6.29,0.18
17:08:35,0.13,-0.19,1.11,3.79,6.37,0.16
17:08:36,0.14,-0.20,1.09,4.87,6.29,0.04
17:08:37,0.13,-0.18,1.10,4.64,6.23,0.01
17:08:38,0.16,-0.20,1.09,4.84,6.25,0.17
17:08:39,0.15,-0.19,1.08,5.02,6.30,0.07
17:08:40,0.13,-0.21,1.10,4.97,6.30,0.13
17:08:41,0.15,-0.22,1.08,4.56,6.30,0.14
17:08:42,0.15,-0.21,1.10,4.17,6.24,0.19
17:08:43,0.14,-0.19,1.08,2.91,6.37,0.00
17:08:44,0.14,-0.19,1.09,1.90,6.25,0.11
17:08:45,0.15,-0.20,1.08,1.01,6.36,0.05
17:08:47,0.15,-0.20,1.09,0.05,6.23,0.04
17:08:48,0.15,-0.20,1.07,-1.30,6.28,0.17
17:08:49,0.15,-0.20,1.10,-2.13,6.23,0.08
17:08:50,0.16,-0.19,1.10,-2.67,6.22,0.10
17:08:51,0.15,-0.22,1.08,-3.30,6.23,0.02
17:08:52,0.16,-0.19,1.09,-4.39,6.31,0.05
17:08:53,0.15,-0.19,1.09,-4.54,6.22,0.12
17:08:54,0.13,-0.20,1.06,-5.05,6.32,0.04
17:08:55,0.14,-0.20,1.07,-4.95,6.36,0.02
17:08:56,0.16,-0.22,1.05,-4.37,6.39,0.09
17:08:57,0.16,-0.22,1.06,-4.87,6.32,0.06
17:08:58,0.15,-0.19,1.07,-4.30,6.33,0.07
17:08:59,0.16,-0.19,1.03,-3.21,6.25,0.06
17:09:00,0.17,-0.18,1.07,-2.36,6.36,0.04
17:09:01,0.13,-0.21,1.03,-1.70,6.32,0.18
17:09:02,0.16,-0.20,1.04,-0.54,6.34,0.01
17:09:03,0.15,-0.20,1.03,0.79,6.34,0.18
17:09:04,0.15,-0.20,1.05,1.68,6.28,0.18
17:09:05,0.15,-0.18,1.04,2.17,6.31,0.16
17:09:06,0.14,-0.20,1.02,3.58,6.33,0.10
17:09:07,0.14,-0.20,1.01,3.63,6.26,0.00
17:09:08,0.14,-0.19,1.00,4.77,6.38,0.05
17:09:09,0.16,-0.22,1.00,4.83,6.26,0.06
17:09:10,0.14,-0.19,0.99,4.52,6.31,0.06
17:09:11,0.15,-0.19,1.01,5.16,6.32,0.02
17:09:12,0.17,-0.20,1.00,4.55,6.27,0.15
17:09:13,0.16,-0.21,0.97,4.25,6.24,0.06
17:09:14,0.15,-0.19,1.00,3.23,6.21,0.20
17:09:15,0.17,-0.21,0.98,2.91,6.38,0.04
17:09:16,0.15,-0.21,0.98,1.45,6.32,0.14
17:09:17,0.16,-0.19,0.96,1.26,6.20,0.07
17:09:18,0.13,-0.20,0.96,0.28,6.22,0.17
17:09:19,0.15,-0.21,0.96,-1.24,6.32,0.03
17:09:20,0.14,-0.21,0.95,-2.07,6.36,0.07
17:09:21,0.16,-0.19,0.96,-3.14,6.38,0.02
17:09:22,0.15,-0.22,0.96,-3.42,6.27,0.16
17:09:23,0.14,-0.18,0.95,-4.80,6.22,0.07
17:09:24,0.17,-0.21,0.92,-4.67,6.39,0.02
17:09:25,0.16,-0.21,0.94,-5.31,6.38,0.18
17:09:26,0.16,-0.22,0.91,-5.06,6.27,0.09
17:09:27,0.16,-0.18,0.94,-5.22,6.23,0.04
17:09:28,0.15,-0.18,0.93,-4.09,6.35,0.16
17:09:29,0.16,-0.19,0.92,-3.81,6.24,0.05
17:09:30,0.16,-0.19,0.91,-3.24,6.23,0.06
17:09:31,0.13,-0.21,0.93,-2.09,6.27,0.18
17:09:32,0.13,-0.18,0.91,-1.26,6.20,0.11
17:09:33,0.16,-0.21,0.89,-0.57,6.32,0.17
17:09:35,0.14,-0.21,0.91,0.91,6.26,0.11
17:09:36,0.15,-0.22,0.90,1.50,6.38,0.06
17:09:37,0.17,-0.20,0.92,2.97,6.29,0.11
